country,population
Afghanistan,42647492
Africa Eastern and Southern,769280888
Africa Western and Central,521764076
Albania,2377128
Algeria,46814308
American Samoa,46765
Andorra,81938
Angola,37885849
Antigua and Barbuda,93772
Arab World,492612632
Argentina,45696159
Armenia,3033500
Aruba,107995
Australia,27196812
Austria,9177982
Azerbaijan,10202830
"Bahamas, The",401283
Bahrain,1588670
Bangladesh,173562364
Barbados,282467
Belarus,9132629
Belgium,11858610
Belize,417072
Benin,14462724
Bermuda,64636
Bhutan,791524
Bolivia,12413315
Bosnia and Herzegovina,3164253
Botswana,2521139
Brazil,211998573
British Virgin Islands,39471
Brunei Darussalam,462721
Bulgaria,6441421
Burkina Faso,23548781
Burundi,14047786
Cabo Verde,524877
Cambodia,17638801
Cameroon,29123744
Canada,41288599
Caribbean small states,4539060
Cayman Islands,74457
Central African Republic,5330690
Central Europe and the Baltics,100061963
Chad,20299123
Channel Islands,168126
Chile,19764771
China,1408975000
Colombia,52886363
Comoros,866628
"Congo, Dem. Rep.",109276265
"Congo, Rep.",6332961
Costa Rica,5129910
Cote d'Ivoire,31934230
Croatia,3866200
Cuba,10979783
Curacao,155967
Cyprus,1358282
Czechia,10905028
Denmark,5976992
Djibouti,1168722
Dominica,66205
Dominican Republic,11427557
Early-demographic dividend,3552278604
East Asia & Pacific,2388319494
East Asia & Pacific (IDA & IBRD countries),2114653077
East Asia & Pacific (excluding high income),2141122258
Ecuador,18135478
"Egypt, Arab Rep.",116538258
El Salvador,6338193
Equatorial Guinea,1892516
Eritrea,3535603
Estonia,1372341
Eswatini,1242822
Ethiopia,132059767
Euro area,351161936
Europe & Central Asia,928263208
Europe & Central Asia (IDA & IBRD countries),459734030
Europe & Central Asia (excluding high income),250281521
European Union,450228188
Faroe Islands,54681
Fiji,928784
Finland,5619911
Fragile and conflict affected situations,1081767572
France,68551653
French Polynesia,281807
Gabon,2538952
"Gambia, The",2759988
Georgia,3699557
Germany,83516593
Ghana,34427414
Gibraltar,39329
Greece,10405134
Greenland,56836
Grenada,117207
Guam,167777
Guatemala,18406359
Guinea,14754785
Guinea-Bissau,2201352
Guyana,831087
Haiti,11772557
Heavily indebted poor countries (HIPC),941413026
High income,1417841927
Honduras,10825703
"Hong Kong SAR, China",7524100
Hungary,9562065
IBRD only,4979421568
IDA & IBRD total,6926222113
IDA blend,676957651
IDA only,1269842894
IDA total,1946800545
Iceland,386506
India,1450935791
Indonesia,283487931
"Iran, Islamic Rep.",91567738
Iraq,46042015
Ireland,5395790
Isle of Man,84160
Israel,9974400
Italy,58952704
Jamaica,2839175
Japan,123975371
Jordan,11552876
Kazakhstan,20592571
Kenya,56432944
Kiribati,134518
"Korea, Dem. People's Rep.",26498823
"Korea, Rep.",51751065
Kosovo,1594353
Kuwait,4897263
Kyrgyz Republic,7221868
Lao PDR,7769819
Late-demographic dividend,2328628339
Latin America & Caribbean,662186388
Latin America & Caribbean (excluding high income),594158638
Latin America & the Caribbean (IDA & IBRD countries),647003746
Latvia,1866124
Least developed countries: UN classification,1187777591
Lebanon,5805962
Lesotho,2337423
Liberia,5612817
Libya,7381023
Liechtenstein,40450
Lithuania,2888278
Low & middle income,6563501708
Low income,624608098
Lower middle income,3120980912
Luxembourg,677012
"Macao SAR, China",687000
Madagascar,31964956
Malawi,21655286
Malaysia,35557673
Maldives,527799
Mali,24478595
Malta,568847
Marshall Islands,37548
Mauritania,5169395
Mauritius,1245779
Mexico,130861007
"Micronesia, Fed. Sts.",113160
"Middle East, North Africa, Afghanistan & Pakistan",813146136
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",736401764
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",741690916
Middle income,5938893610
Moldova,2402306
Monaco,38631
Mongolia,3524788
Montenegro,623525
Morocco,38081173
Mozambique,34631766
Myanmar,54500091
Namibia,3030131
Nauru,11947
Nepal,29651054
Netherlands,17993485
New Caledonia,292639
New Zealand,5287500
Nicaragua,6916140
Niger,27032412
Nigeria,232679478
North America,381464223
North Macedonia,1824359
Northern Mariana Islands,44278
Norway,5572279
OECD members,1396877448
Oman,5281538
Other small states,12931878
Pacific island small states,2722467
Pakistan,251269164
Palau,17695
Panama,4515577
Papua New Guinea,10576502
Paraguay,6929153
Peru,34217848
Philippines,115843670
Poland,36559233
Portugal,10694681
Post-demographic dividend,1128377826
Pre-demographic dividend,1105951788
Puerto Rico (US),3203295
Qatar,2857822
Romania,19051804
Russian Federation,143533851
Rwanda,14256567
Samoa,218019
San Marino,33977
Sao Tome and Principe,235536
Saudi Arabia,35300280
Senegal,18501984
Serbia,6586476
Seychelles,121354
Sierra Leone,8642022
Singapore,6036860
Sint Maarten (Dutch part),43350
Slovak Republic,5422069
Slovenia,2127400
Small states,20193405
Solomon Islands,819198
"Somalia, Fed. Rep.",19009151
South Africa,64007187
South Asia,1677384532
South Asia (IDA & IBRD),1677384532
South Sudan,11943408
Spain,48848840
Sri Lanka,21916000
St. Kitts and Nevis,46843
St. Lucia,179744
St. Martin (French part),26129
St. Vincent and the Grenadines,100616
Sub-Saharan Africa,1291044964
Sub-Saharan Africa (IDA & IBRD countries),1291044964
Sub-Saharan Africa (excluding high income),1158863843
Sudan,50448963
Suriname,634431
Sweden,10569709
Switzerland,9005582
Syrian Arab Republic,24672760
Tajikistan,10590927
Tanzania,68560157
Thailand,71668011
Timor-Leste,1400638
Togo,9515236
Tonga,104175
Trinidad and Tobago,1368333
Tunisia,12277109
Turkiye,85518661
Turkmenistan,7494498
Turks and Caicos Islands,46535
Tuvalu,9646
Uganda,50015092
Ukraine,37860221
United Arab Emirates,10986400
United Kingdom,69226000
United States,340110988
Upper middle income,2817912698
Uruguay,3386588
Uzbekistan,36361859
Vanuatu,327777
"Venezuela, RB",28405543
Viet Nam,100987686
Virgin Islands (U.S.),104377
West Bank and Gaza,5289152
World,8141808945
"Yemen, Rep.",40583164
Zambia,21314956
Zimbabwe,16634373
